ISBN,Title,Author,Year-Of-Publication,Publisher
0140159401,Listening to Prozac,Peter D. Kramer,1994,Penguin Books
0743422910,The Constant Gardener,John le Carre,2001,Pocket
0345365208,Spy Hook,Len Deighton,1992,Ballantine Books
074341232X,Jinxed,Carol Higgins Clark,2003,Pocket Star
078688861X,Men and Other Mammals,Jim Keeble,2003,Hyperion
0804119724,Into the Night,Suzanne Brockmann,2002,Ballantine Books
0345340892,Wishcraft : How to Get What You Really Want,Barbara Sher,1986,Ballantine Books
0743249291,Wideacre : A Novel,Philippa Gregory,2003,Touchstone
0312976909,Got Your Number,Stephanie Bond,2001,St. Martin's Paperbacks
0671798316,"Guises of the Mind (Star Trek The Next Generation, No 27)",Rebecca Neason,1993,Star Trek
0451197542,"Play It Again, Spam: A Pennsylvania-Dutch Mystery With Recipes (Penn Dutch Murder Mysteries, 7)",Tamar Myers,1999,Signet Book
0140148590,The General in His Labyrinth (Penguin Great Books of the 20th Century),Garcia Marques,1991,Penguin Books
0375700269,Evening,SUSAN MINOT,1999,Vintage
0394871804,"The Berenstain Bears on the Moon (Bright &amp; Early Book, Be 27)",Stan Berenstain,1985,Random House Children's Books
0060973684,Awakenings,Oliver W. Sacks,1990,Harpercollins
006015957X,Roseanne: My Life As a Woman,Roseanne,1989,Harpercollins
0375703632,The Love of a Good Woman : Stories,Alice Munro,1999,Vintage Books USA
0446530980,The Zero Game,Brad Meltzer,2004,Warner Books
0679428895,Pompeii: A Novel,ROBERT HARRIS,2003,Random House
0679447830,City of God,E. L. Doctorow,2000,Random House Trade
0836204255,The Far Side Gallery 5,Gary Larson,1995,Andrews McMeel Publishing
1551668726,Death Qualified (Barbara Holloway Novels (Paperback)),Kate Wilhelm,2002,Mira
0425155064,Terminal,Robin Cook,1999,Berkley Publishing Group
0451160444,Christine,Stephen King,2004,Signet Book
0345386825,A Calculated Risk,Katherine Neville,1994,Ballantine Books
0671775391,CRUEL DOUBT,Joe McGinniss,1992,Pocket
067972477X,"I, Claudius : From the Autobiography of Tiberius Claudius, Born 10 B.C., Murdered and Deified A.D. 54 (Vintage International)",Robert Graves,1989,Vintage Books USA
0751503894,The Physician,Noah Gordon,2001,Warner Futura
0671023209,Transfer of Power,Vince Flynn,2000,Pocket Star
0553263900,"When I Say No, I Feel Guilty",Manuel J. Smith,1975,Bantam
0671891081,The Blessing,Jude Deveraux,1998,Atria
1551669609,All Fall Down,Erica Spindler,2002,Mira
0440351626,The Magus,John Fowles,1985,Dell Publishing Company
0380016362,Laura : The Life of Laura Ingalls Wilder,Donald Zochert,1977,Avon
0590762540,"The Threat (Animorphs , No 21)",Katherine Applegate,1998,Scholastic
058351149X,Worst Fears,Fay Weldon,0,Flamingo
0553584049,The Perfect Summer,Luanne Rice,2003,Bantam Books
0425097609,Whispers,Dean R. Koontz,1997,Berkley Publishing Group
0688178057,Culture Jam : How to Reverse America's Suicidal Consumer Binge--and Why We Must,Kalle Lasn,2000,Perennial Currents
0345424603,The Masterharper of Pern (Dragonriders of Pern (Paperback)),Anne McCaffrey,1999,Del Rey Books
0671898493,Hollywood Kids,Jackie Collins,1995,Pocket
0679760806,The Master and Margarita,Mikhail Bulgakov,1996,Vintage Books USA
0786890002,The Art of Deception,Ridley Pearson,2003,Hyperion
1853260258,The Odyssey,Homer,1998,NTC/Contemporary Publishing Company
0060971479,The All of It: A Novel,Jeannette Haien,1988,Perennial
0743247612,The Funny Thing Is...,Ellen DeGeneres,2003,Simon &amp; Schuster
0425184463,Warrior Class,Dale Brown,2002,Berkley Publishing Group
0425162605,Fatal Terrain,Dale Brown,1998,Berkley Publishing Group
0671748882,The Red Horseman,Stephen Coonts,1994,Pocket
0061012491,Rising Phoenix,Kyle Mills,1998,HarperTorch
0671870610,The INTRUDERS,Stephen Coonts,1995,Pocket
0670241334,Corduroy,Don Freeman,1968,Viking Juvenile
0786866314,Relationship Rescue: A Seven Step Strategy for Reconnecting with Your Partner,Phil McGraw,2000,Hyperion
0786887583,Napalm &amp; Silly Putty,George Carlin,2002,Hyperion
0373707207,"What She Wants For Christmas (Harlequin Superromance, No 720)",Claire M. Johnson,1996,Harlequin
0446511528,The Heartbreaker,Carly Phillips,2003,Warner Books
0743457439,Magnolia Moon (Callahan Brothers Trilogy),JoAnn Ross,2003,Pocket
0553290789,Genuine Lies,Nora Roberts,1999,Bantam
1551664275,Led Astray,Sandra Brown,1998,Mira
1551660598,Without A Trace,Nora Roberts,1996,Mira
0671027522,A Springwater Christmas (Springwater Seasons),Linda Lael Miller,1999,Pocket
038070384X,Lullaby,Ed McBain,1989,Harper Mass Market Paperbacks
0425098087,Zodiac,Robert Graysmith,2002,Berkley Publishing Group
0399140786,The Dark Room,Minette Walters,1996,Putnam Pub Group
0451404823,Fan Mail,Ronald Munson,1994,Onyx Books
0553117084,Jaws 2: A Novel,Hank Searls,1978,Bantam Books
0345435036,Crying Wolf,PETER ABRAHAMS,2001,Fawcett
0553574094,With This Ring,Amanda Quick,1999,Bantam Books
0380002558,The Velveteen Rabbit,Margery Williams,1999,Avon
0312966164,Mother Nature (Em Hansen Mysteries),Sarah Andrews,1998,St. Martin's Press
0380713829,Kiss,Ed McBain,1992,Harper Mass Market Paperbacks (Mm)
0061012882,Second Sight,Beth Amos,1998,Harper Mass Market Paperbacks (Mm)
0743436822,Blue Bayou,JoAnn Ross,2002,Pocket
0399148639,Mortal Prey,John Sandford,2002,Putnam Publishing Group
051511605X,Undue Influence,Steven Paul Martini,1995,Jove Books
1551664879,Reunion,Sharon Sala,1999,Mira
0671797476,"Grounded (Star Trek The Next Generation, No 25)",David Bischoff,1993,Star Trek
0374190666,Longitudes and Attitudes: Exploring the World After September 11,Thomas L. Friedman,2002,Farrar Straus &amp; Giroux
0671017144,"Coyote Moon (Buffy the Vampire Slayer, Book 3)",John Vornholt,1998,Simon Spotlight Entertainment
3596247500,Ein Mann f�?¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
379200027X,Der Kleine Prinz,Antoine de Saint-Exupery,2000,Rauch
044023512X,City of Light,Lauren Belfer,2000,Island
0060508183,Fatal Flaw,William Lashner,2004,HarperTorch
0446615145,The Lake House,James Patterson,2004,Warner Books
0316107255,Penguin Dreams and Stranger Things (A Bloom County Book),Berke Breathed,1985,Little Brown &amp; Co
0316107352,Tales Too Ticklish to Tell: Bloom County,Berke Breathed,1988,Little Brown &amp; Co
0449232921,The Grass Is Always Greener Over the Septic Tank,Erma Bombeck,1978,Fawcett Books
0679759336,The Fermata,Nicholson Baker,1995,Vintage Books USA
0380676524,Stick,Elmore Leonard,1995,Harper Mass Market Paperbacks (Mm)
0440107601,BOYS FROM BRAZIL,IRA LEVIN,1977,Dell
0061098027,Free Fall,Kyle Mills,2001,Avon Books
0671647458,Color Purple,Alice Walker,1987,Pocket
0375701303,Breaking Clean,Judy Blunt,2003,Vintage Books USA
0553264915,The Electric Kool-Aid Acid Test,Tom Wolfe,1983,Bantam Books
0553298038,"Ambush at Corellia (Star Wars: The Corellian Trilogy, Book 1)",Roger MacBride Allen,1998,Bantam
0553295098,The Gap into Conflict: The Real Story (Gap),Stephen R. Donaldson,1992,Bantam
0307001067,The Little Mermaid,Michael Teitelbaum,1995,Random House Childrens Books
0767904133,Close to Shore: A True Story of Terror in an Age of Innocence,Michael Capuzzo,2001,Random House
0380777169,Silence of the Hams (Jane Jeffry Mysteries (Paperback)),Jill Churchill,1996,Avon
055327211X,Daughter of the Empire,RAYMOND FEIST,1988,Bantam
0553270257,Lincoln's Dreams,CONNIE WILLIS,1992,Spectra
0345382293,If I'd Killed Him When I Met Him...: An Elizabeth Mac Pherson Novel,Sharyn McCrumb,1995,Ballantine Books
055356045X,Temperatures Rising,Sandra Brown,1993,Bantam Books
0446516325,Fat Tuesday,Sandra Brown,1997,Warner Books Inc
0767908198,Auntie Mame: An Irreverent Escapade,Patrick Dennis,2001,Broadway Books
042519129X,"The English Breakfast Murder (Childs, Laura. Tea Shop Mysteries.)",Laura Childs,2003,Berkley Publishing Group
0758203330,Thoughts While Having Sex,Stephanie Lehmann,2003,STRAPLESS
0312287364,Feeling Sorry for Celia : A Novel,Jaclyn Moriarty,2002,St. Martin's Griffin
0425178854,"Murder, My Deer (Kate Jasper Mysteries (Paperback))",Jaqueline Girdner,2001,Berkley Publishing Group
0743444043,Double Dealer : Crime Scene Investigation,Max Allan Collins,2003,Pocket
0553582267,Wreck the Halls,SARAH GRAVES,2002,Bantam
0449007251,Inner City Blues (Fawcett Book),Paula L. Woods,2002,Fawcett Books
0440237033,Veiled Threats,Deborah Donnelly,2002,Dell Publishing Company
0425184056,Gunpowder Green,Laura Childs,2002,Berkley Publishing Group
0425179451,Death by Darjeeling (Tea Shop Mysteries),Laura Childs,2001,Berkley Publishing Group
0425184285,Arkansas Traveler (Benni Harper Mystery),Earlene Fowler,2002,Berkley Publishing Group
0399150803,Trojan Odyssey,Clive Cussler,2003,G. P. Putnam's Sons
2290309923,Ceux qui vont mourir te saluent,Fred Vargas,2001,J'ai lu
2290302155,Debout les morts,Fred Vargas,2000,J'ai lu
0140390464,The Adventures of Huckleberry Finn (Penguin Classics),Mark Twain,1986,Penguin Books
2253057843,Le Joueur d'�?©checs,Stefan Zweig,1991,LGF
0751510114,Gridlock,Ben Elton,1992,"Acacia Press, Inc."
0449208133,Lucifer's Hammer,Larry Niven,1983,Fawcett Books
0439010780,The Shadow in the North,Philip Pullman,1999,Scholastic Ltd
0439010772,The Ruby in the Smoke,Philip Pullman,1999,Scholastic Ltd
0804111421,The Way Through the Woods,COLIN DEXTER,1994,Fawcett
1585422118,The Hemingway Book Club of Kosovo,Paula Huntley,2003,Jeremy P. Tarcher
0449132064,"Necessary Losses: The Loves, Illusions, Dependencies and Impossible Expectations That All of Us Have to Give Up in Order to Grow",Judith Viorst,1987,Fawcett Books
0345423496,3001: The Final Odyssey,Arthur C. Clarke,1998,Del Rey Books
0486270696,The Mysterious Stranger and Other Stories (Dover Thrift Editions),Mark Twain,1992,Dover Publications
0451210743,Hornet Flight,Ken Follett,2003,Signet Book
074322454X,"Band of Brothers : E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,2001,Simon &amp; Schuster
0679441891,Our Game: A Novel,John Le Carre,1995,Random House Inc
0679431977,North of Montana,April Smith,1994,Ballantine Books
0312952813,The Black Ice (Detective Harry Bosch Mysteries),Michael Connelly,1996,St. Martin's Press
0380841940,"Refugee (Bio of a Space Tyrant, Vol 1)",Piers Anthony,1991,Harper Mass Market Paperbacks (Mm)
0399134409,Clear and Present Danger,Tom Clancy,1989,Putnam Publishing Group
039914207X,Chromosome 6,Robin Cook,1997,Putnam Publishing Group
0670851086,Nightmares &amp; Dreamscapes,Stephen King,1993,Viking Books
0441006930,"Marlfox (Redwall, Book 11)",Brian Jacques,2000,Ace Books
0875421369,Celtic Magic (Llewellyn's World Magic Series),Deanna J. Conway,1990,Llewellyn Publications
0449200221,Walk West a Walk Across America (Walk West),Peter Jenkins,1982,Ballantine Books
0373032900,"Dating Games : A Novel (Harlequin Romance, 3290)",Leigh Michaels,1993,Harlequin
0373289596,"Knights Divided  (The Sommerville Brothers) (Harlequin Historicals, No 359)",Suzanne Barclay,1997,Harlequin
0812521269,"Necroscope 2: Vamphyri! (Necroscope Trilogy, Volume 2)",Brian Lumley,1989,Tor Books
0804105537,Storming Intrepid,Payne Harrison,1993,Ivy Books
0553263285,A Darkness at Sethanon : Volume IV in the Riftwar Saga,RAYMOND FEIST,1987,Spectra
0380820854,"To Sir Phillip, With Love",Julia Quinn,2003,Avon
0380773805,The Class Menagerie (Jane Jeffry Mysteries (Paperback)),Jill Churchill,1999,Avon
0064401707,Scary Stories to Tell in the Dark : Collected from American Folklore (Scary Stories),Alvin Schwartz,1986,HarperTrophy
0345342569,Shoeless Joe,W. P. Kinsella,1989,Ballantine Books
067100316X,Star Trek First Contact (Star Trek The Next Generation),J. M. Dillard,1996,Pocket Books
3442433495,Der Campus.,Dietrich Schwanitz,1996,Goldmann
0451192176,Murder Can Spook Your Cat: A Desire Shapiro Mystery (Desiree Shapiro Mysteries (Paperback)),Selma Eichler,1998,Signet Book
1551660342,Tomorrow'S Promise,Kenneth T. Brown,1994,Mira
0373871589,Redeeming Claire (Love Inspired (Numbered)),Cynthia Rutledge,2001,Steeple Hill
0373226292,"Someone To Protect Her (Montana Confidential) (Harleguin Intrigue, No. 629)",Patricia Rosemoor,2001,Harlequin
0373098537,"Point Of Departure (Women Of Glory That Special Woman) (Silhouette Special Edition, No 853)",Lindsay McKenna,1993,Silhouette
0448089017,The Tower Treasure (Hardy Boys No 1),Franklin W. Dixon,1976,Grosset &amp; Dunlap
0762409533,TOLKIEN MAGNETIC POSTCARDS(tm) 12 Full-color Magnetic Postcards to Send or Save,Brothers Hildebrandt,2001,Running Press Book Publishers
0765346435,The Last Jihad,Joel C. Rosenberg,2003,Forge Books
0894718207,Nostalgic Barbie: A Postcard Book,Running Press,1990,Running Press Book Publishers
1566400201,Dreams of Childhood: Postcard Book,Pomegranate Publishers,1992,Pomegranate Communications
1558532331,Postcards From Life's Little Instruction Book,"H. Jackson, Jr. Brown",1993,Rutledge Hill Press
089471838X,Natural California: A Postcard Book,Not Applicable (Na ),1990,Running Pr
0553568884,Darkspell,Katharine Kerr,1994,Bantam
0380405768,Insiders,Rosemary Rogers,1979,Avon
0385335466,Sunset in St. Tropez,Danielle Steel,2002,Delacorte Press
0061013420,Worst Fears Realized,Stuart Woods,2000,HarperTorch
1551662817,Garden Of Scandal,Jennifer Blake,1997,Mira
0380898187,Forever in Your Embrace,Kathleen E. Woodiwiss,1992,Avon
0385299095,No Greater Love,Danielle Steel,1991,Delacorte Press
0553801279,A Traitor to Memory,Elizabeth George,2001,Bantam Books
0743201647,The Pleasing Hour: A Novel,Lily King,2000,Touchstone
0425168697,Starting Out in the Evening,Brian Morton,1999,Berkley Publishing Group
0380752867,And Eternity (Incarnations of Immortality (Paperback)),Piers Anthony,1991,Eos
0345322231,Being a Green Mother (Incarnations of Immortality (Paperback)),Piers Anthony,1990,Del Rey Books
0345322215,Wielding a Red Sword (Incarnations of Immortality (Paperback)),Piers Anthony,1987,Del Rey Books
0380711079,Hour of the Hunter,J.A. Jance,2003,Avon
0061092738,All I Know About Animal Behaviori Learned in Loehmans Dressing Room,Erma Bombeck,1996,Harper Mass Market Paperbacks (Mm)
0804119732,Lord of Ice,Gaelen Foley,2002,Ivy Books
0425150984,Glory in Death,J. D. Robb,2004,Berkley Publishing Group
038000741X,Monkey Wrench Gang,Edward Abbey,1976,Avon
0671014420,Chicken Poop for the Soul : Stories to Harden the Heart and Dampen the Spirit,David Fisher,1997,Pocket
0871139081,Loving Che,Ana Menendez,2003,Atlantic Monthly Press
0192833553,Pride and Prejudice (Oxford World's Classics),Jane Austen,1998,Oxford University Press
0440940605,I Am the Cheese (Laurel-Leaf Library),ROBERT CORMIER,1991,Laurel Leaf
0345360001,The Mummy or Ramses the Damned,Anne Rice,1989,Ballantine Books
0440210690,Indemnity Only (V.I. Warshawski Novels (Paperback)),Sara Paretsky,1991,Dell
0060955570,Little Green Men : A Novel,Christopher Buckley,2000,Perennial
0380769840,Ashes in the Wind,Kathleen E. Woodiwiss,1981,Avon
0330347772,Come to Grief,Dick Francis,1996,Macmillan Pub Ltd
037324357X,"Man Alone (Morgans Mercenaries: Maveric Hearst, 50th Book) (Special Edition, 1357)",Lindsay McKenna,2000,Silhouette
0380803305,Never Love a Cowboy,Lorraine Heath,2000,Avon
0449143457,Green Ripper,John D Macdonald,1981,Ballantine Books
0446520756,Legally Correct Fairy Tales,David Fisher,1996,Warner Books
0373483430,Case Of The Mesmerizing Boss (And the Winner Is),Diana Palmer,1997,Silhouette
0345360362,Highland Laddie Gone,Sharyn McCrumb,1992,Ballantine Books
044022389X,The Sound of Snow,Katherine Kingsley,1999,Dell Publishing Company
0380001098,Gone With the Wind,Margaret Mitchell,1991,Avon Books
067169863X,"Sassinak (Planet Pirates, Vol 1)",Anne McCaffrey,1990,Baen
0821776118,Maybe This Christmas,Janet Dailey,2003,Zebra Books
0380815583,"Offer From a Gentleman, An",Julia Quinn,2001,Avon
0553213415,Madame Bovary (Bantam Classics),Gustave Flaubert,1982,Bantam
0515133086,Beyond Seduction,Emma Holly,2002,Jove Books
0373078234,"Captive Star  (Stars Of Mithra) (Harlequin Intimate Moments, No 823)",Nora Roberts,1997,Silhouette
0425189058,Lover Beware,Christine Feehan,2003,Berkley Publishing Group
0061010871,A Brace of Bloodhounds (Bloodhound (Paperback)),Virginia Lanier,1998,HarperTorch
0778320200,A Useful Affair,Stella Cameron,2004,Mira
0449000184,One Perfect Rose (Fallen Angels),Mary Jo Putney,1998,Ivy Books
0804119910,Shotgun Wedding,MAGGIE OSBORNE,2003,Ivy Books
0380804387,The Present (Malory Novels (Paperback)),Johanna Lindsey,1999,Avon
0671042459,Christy (Women of Primrose Creek),Linda Lael Miller,2000,Pocket
0671042475,Megan,Linda Lael Miller,2000,Pocket
0373115431,Saving Grace (Harlequin Presents No. 11543),Carole Mortimer,1993,Harlequin
0312240910,Monica's Story,Andrew Morton,1999,St. Martin's Press
067168972X,The Duchess,Jude Deveraux,1992,Pocket
0373226373,"Night And Day (Harlequin Intrigue, No. 637)",Anne Stuart,2001,Harlequin
0843944765,Spirit's Song,Madeline Baker,1999,Leisure Books
0425168964,Murder on Astor Place (Gaslight Mysteries),Victoria Thompson,1999,Prime Crime
0843948787,The Agreement (Secret Fires),Constance O'Banyon,2001,Leisure Books
0446602566,With Hope,Dorothy Garlock,1998,Warner Books
0373291574,"Gallant Waif (Harlequin Historical Series, No 557)",Anne Gracie,2001,Harlequin
0425155412,Tonight and Always,Linda Lael Miller,1996,Berkley Publishing Group
0743442660,My Big Old Texas Heartache,Geralyn Dawson,2003,Pocket Star
0373272898,Gabriel West : Still The One,Fiona Brand,2003,Silhouette
0373484909,Secret Star,Nora Roberts,2001,Silhouette
0758200846,Too Much Temptation,Lori Foster,2002,BRAVA
0553293605,"King's Sacrifice (Star of the Guardians, Vol 3)",Margaret Weis,1997,Spectra Books
0425111830,Search the Shadows,Barbara Michaels,1990,Berkley Publishing Group
0425146707,Sheba,Jack Higgins,1995,Berkley Publishing Group
0425126455,Hammerheads,Dale Brown,1995,Berkley Publishing Group
0671704648,Cyclops (Clive Cussler),Clive Cussler,1989,Pocket
0553277405,Night Probe!,Clive Cussler,1995,Bantam
0553273906,Vixen 03,Clive Cussler,1984,Bantam Books
0425142078,Chains of Command,Dale Brown,2001,Berkley Publishing Group
0345450728,Distant Shores,Kristin Hannah,2003,Ballantine Books
1551667223,Flamingo Diner,Sherryl Woods,2003,Mira
1853260738,Moll Flanders,Daniel Defoe,1999,NTC/Contemporary Publishing Company
1551665840,Return,Dinah Mccall,2000,Mira
0373706928,"This Montana Home (Family Man) (Harlequin Superromance, No 692)",Sherry Lewis,1996,Harlequin
